,0,1
Intercept,0.21304029780774408,0.5236187398404252
C(subject_race_encd)[Black],0.028359108708534055,0.07804155902206113
C(subject_race_encd)[Hispanic],0.049782811568674576,0.11413221601603268
C(subject_race_encd)[Asian/Pacific Islander],0.08771696759586803,0.47484221994252696
C(subject_race_encd)[Unknown],0.08991414014942203,0.5768457984682944
C(subject_race_encd)[Other],0.3163833365900638,0.9030582030676781
C(subject_sex_encd)[Female],0.021876840221726243,0.0703110566969457
wealth_c,0.0673603486582248,0.11067324253558289
wealth_c:C(subject_race_encd)[Black],0.06334889440681434,0.1304367536113817
wealth_c:C(subject_race_encd)[Hispanic],0.11233075469171522,0.25066835586078534
wealth_c:C(subject_race_encd)[Asian/Pacific Islander],0.1883004070657368,0.8757891046588531
wealth_c:C(subject_race_encd)[Unknown],0.2188329060701716,0.4822282472713845
wealth_c:C(subject_race_encd)[Other],0.6188374487365984,0.5265881410559334
wealth_c:C(subject_sex_encd)[Female],0.04078305729656304,0.12760407715234576
"bs(age_c, df=4, include_intercept=False)[0]",0.26633842592362367,0.7124298312274657
"bs(age_c, df=4, include_intercept=False)[1]",0.15263621404197,0.3699844290738761
"bs(age_c, df=4, include_intercept=False)[2]",0.38467290506096635,1.2119870464359905
"bs(age_c, df=4, include_intercept=False)[3]",0.5479891501325163,2.208920841335193
