,0,1
Intercept,9.161403420412942e-13,0.2567580034313328
C(subject_race_encd)[Black],0.893629138893845,5.114982284743289e-21
C(subject_race_encd)[Hispanic],6.440639080698758e-58,5.873919629664484e-20
C(subject_race_encd)[Asian/Pacific Islander],0.01668067678666893,0.12876155493736524
C(subject_race_encd)[Unknown],0.0008527965088932204,0.019839033306199905
C(subject_race_encd)[Other],0.5793228517008606,0.955824887277383
C(subject_sex_encd)[Female],8.22292810388777e-10,4.625177164781648e-36
wealth_c,0.06771732952672008,0.4597294768954975
wealth_c:C(subject_race_encd)[Black],0.011361681163880897,0.5994207398287228
wealth_c:C(subject_race_encd)[Hispanic],0.9848160592170631,0.19279012241331017
wealth_c:C(subject_race_encd)[Asian/Pacific Islander],0.5648807533799435,0.6165069193921968
wealth_c:C(subject_race_encd)[Unknown],0.04847174238685707,0.07330149332041842
wealth_c:C(subject_race_encd)[Other],0.4917631415115634,0.017383135614825365
wealth_c:C(subject_sex_encd)[Female],0.5747002395297682,0.2994304805575555
"bs(age_c, df=4, include_intercept=False)[0]",0.24331332560740448,4.717893842411193e-08
"bs(age_c, df=4, include_intercept=False)[1]",0.5250783825223099,1.696124271899392e-09
"bs(age_c, df=4, include_intercept=False)[2]",0.7390232679355102,2.0442566473546868e-07
"bs(age_c, df=4, include_intercept=False)[3]",1.1770243006441112e-08,0.0008394685769747924
