,0,1
Intercept,1.596595445412654e-70,8.867270751868488e-13
Black,0.07487645483304292,1.7785620516977857e-153
Hispanic,1.4879277244040018e-124,6.252959596270303e-221
Asian/Pacific Islander,1.5610247916226897e-16,6.088716250473144e-08
Female,2.9028979129388584e-30,0.0
wealth_c,0.4421185493024107,5.883232424410213e-14
wealth_c:Black,0.06163505249881651,1.3795990224880768e-07
wealth_c:Hispanic,0.6344887471143079,3.351430191768267e-05
wealth_c:Asian/Pacific Islander,0.1226766652448781,0.3122310838921817
wealth_c:Female,0.06727255352541237,0.6818031800221855
"bs(age_c, df=4, include_intercept=False)[0]",0.026303705153273533,1.2727911618667655e-69
"bs(age_c, df=4, include_intercept=False)[1]",0.034540933247075946,1.0709592906905155e-46
"bs(age_c, df=4, include_intercept=False)[2]",0.004522031285052292,7.13305927266092e-113
"bs(age_c, df=4, include_intercept=False)[3]",1.1732253087558976e-71,3.862130399980742e-21
