property_address,sale_price,sale_date,city,state,latitude,longitude,zip_code
"2761  ROSEDALE PL, Nashville, TN",202000,2013-01-18,NASHVILLE,TN,36.1241454,-86.7631906,37211.0
"224  PEACHTREE ST, Nashville, TN",32000,2013-01-18,NASHVILLE,TN,36.1202271,-86.7441495,37210.0
"316  LUTIE ST, Nashville, TN",102000,2013-01-23,NASHVILLE,TN,36.117742,-86.746808,37210.0
"2626  FOSTER AVE, Nashville, TN",93736,2013-01-04,NASHVILLE,TN,36.1156041,-86.7434716,37210.0
"501  MORTON AVE, Nashville, TN",44000,2013-01-15,NASHVILLE,TN,36.106283,-86.744733,37211.0
"501  MORTON AVE, Nashville, TN",49900,2013-01-25,NASHVILLE,TN,36.106283,-86.744733,37211.0
"113  NEESE DR, Nashville, TN",25000,2013-01-09,NASHVILLE,TN,36.1070882,-86.7214095,37211.0
"184  WHEELER AVE, Nashville, TN",90000,2013-01-18,NASHVILLE,TN,36.0951539,-86.7280747,37211.0
"238  ELYSIAN FIELDS RD, Nashville, TN",72000,2013-01-11,NASHVILLE,TN,36.0923489,-86.7193407,37211.0
"3801  ECKHART DR, Nashville, TN",120000,2013-01-04,NASHVILLE,TN,36.091273,-86.713451,37211.0
"4832  CORNING DR, Nashville, TN",55000,2013-01-23,NASHVILLE,TN,36.0831846,-86.7322143,37211.0
"285  PARAGON MILLS RD, Nashville, TN",115900,2013-01-18,NASHVILLE,TN,36.0871818,-86.7097347,37211.0
"259  EISENHOWER DR, Nashville, TN",120000,2013-01-17,NASHVILLE,TN,36.0842441,-86.7081781,37211.0
"5100  OVERTON RD, Nashville, TN",262500,2013-01-04,NASHVILLE,TN,36.065205,-86.761774,37220.0
"281  COMROE RD, Nashville, TN",112500,2013-01-31,NASHVILLE,TN,36.0809849,-86.7074171,37211.0
"3922  CREEKSIDE DR, Nashville, TN",134000,2013-01-08,NASHVILLE,TN,36.0676963,-86.7000301,37211.0
"4907  PACKARD DR, Nashville, TN",48000,2013-01-18,NASHVILLE,TN,36.0636328,-86.7001293,37211.0
"3805  CREEKSIDE DR, Nashville, TN",127000,2013-01-22,NASHVILLE,TN,36.0652599,-86.7007387,37211.0
"225  CLIPPER CT, Nashville, TN",92900,2013-01-08,NASHVILLE,TN,36.0617704,-86.6878417,37211.0
"5316  OVERTON RD, Nashville, TN",267300,2013-01-04,NASHVILLE,TN,36.0570558,-86.7627951,37220.0
"641  MCMURRAY DR, Nashville, TN",187000,2013-01-28,NASHVILLE,TN,36.055107,-86.734461,37211.0
"152  TUSCULUM RD, Nashville, TN",109900,2013-01-15,ANTIOCH,TN,36.05356,-86.690661,37013.0
"408  EASTBORO DR, Nashville, TN",131350,2013-01-24,NASHVILLE,TN,36.1484238,-86.8673453,37209.0
"5202  PARK AVE, Nashville, TN",285000,2013-01-14,NASHVILLE,TN,36.150957,-86.8500153,37209.0
"4306  DAKOTA AVE, Nashville, TN",450000,2013-01-11,NASHVILLE,TN,36.1478201,-86.8383512,37209.0
"804  LENA ST, Nashville, TN",16000,2013-01-15,NASHVILLE,TN,36.1605559,-86.817846,37208.0
"729  25TH AVE N, Nashville, TN",17000,2013-01-16,NASHVILLE,TN,36.160027,-86.814065,37208.0
"732  25TH AVE N, Nashville, TN",17000,2013-01-16,NASHVILLE,TN,36.1603157,-86.8139344,37208.0
"2320  BATAVIA ST, Nashville, TN",27000,2013-01-15,NASHVILLE,TN,36.1612549,-86.8109069,37208.0
"2318  BATAVIA ST, Nashville, TN",27000,2013-01-15,NASHVILLE,TN,36.1612562,-86.8108951,37208.0
"410  37TH AVE N, Nashville, TN",63500,2013-01-23,NASHVILLE,TN,36.1534972,-86.8287579,37209.0
"2822  GEORGIA AVE, Nashville, TN",16000,2013-01-15,NASHVILLE,TN,36.157235,-86.820712,37209.0
"333  CHAMBERLIN ST, Nashville, TN",130000,2013-01-24,NASHVILLE,TN,36.1489,-86.8297895,37209.0
"5514  BON AIR CIR, Nashville, TN",194000,2013-01-16,NASHVILLE,TN,36.142204,-86.8528212,37209.0
"4902  IDAHO AVE, Nashville, TN",207500,2013-01-09,NASHVILLE,TN,36.146547,-86.8458581,37209.0
"4208  ABERDEEN RD, Nashville, TN",295000,2013-01-18,NASHVILLE,TN,36.1366761,-86.8398429,37205.0
"815  NEARTOP DR, Nashville, TN",260000,2013-01-23,NASHVILLE,TN,36.1330816,-86.8594973,37205.0
"3608  NEBRASKA AVE, Nashville, TN",138000,2013-01-11,NASHVILLE,TN,36.1428011,-86.8271476,37209.0
"3606  NEBRASKA AVE, Nashville, TN",138000,2013-01-11,NASHVILLE,TN,36.1428063,-86.827126,37209.0
"311  WEST END PL, Nashville, TN",270000,2013-01-15,NASHVILLE,TN,36.1370903,-86.8227519,37205.0
"3340  ACKLEN AVE, Nashville, TN",394500,2013-01-18,NASHVILLE,TN,36.1374858,-86.8181872,37212.0
"3725  PRINCETON AVE, Nashville, TN",899900,2013-01-15,NASHVILLE,TN,36.1365129,-86.8314838,37205.0
"2608  ESSEX PL, Nashville, TN",860000,2013-01-25,NASHVILLE,TN,36.1324625,-86.8097551,37212.0
"2922  WESTMORELAND DR, Nashville, TN",555000,2013-01-10,NASHVILLE,TN,36.1303447,-86.815221,37212.0
"1113  WADE AVE, Nashville, TN",164000,2013-01-15,NASHVILLE,TN,36.1365963,-86.7868805,37203.0
"924  WEDGEWOOD AVE, Nashville, TN",151000,2013-01-18,NASHVILLE,TN,36.1348854,-86.784153,37203.0
"1406  ELMWOOD AVE, Nashville, TN",600000,2013-01-23,NASHVILLE,TN,36.1266867,-86.7910721,37212.0
"924  WALDKIRCH AVE, Nashville, TN",225000,2013-01-02,NASHVILLE,TN,36.126794,-86.7853715,37204.0
"807  HILLVIEW HTS, Nashville, TN",396500,2013-01-11,NASHVILLE,TN,36.126435,-86.779308,37204.0
"6030  BRESSLYN RD, Nashville, TN",433500,2013-01-11,NASHVILLE,TN,36.1144466,-86.8778917,37205.0
"6349  BRESSLYN RD, Nashville, TN",147500,2013-01-10,NASHVILLE,TN,36.1080357,-86.890339,37205.0
"5937  LONG MEADOW RD, Nashville, TN",428000,2013-01-30,NASHVILLE,TN,36.1103494,-86.8682298,37205.0
"104  LINCOLN CT, Nashville, TN",100000,2013-01-11,NASHVILLE,TN,36.1024857,-86.8650918,37205.0
"717  CANTRELL AVE, Nashville, TN",427000,2013-01-18,NASHVILLE,TN,36.1206111,-86.8322209,37215.0
"2701  OAKLAND AVE, Nashville, TN",989000,2013-01-18,NASHVILLE,TN,36.123651,-86.796041,37212.0
"2205  WOODMONT BLVD, Nashville, TN",1435000,2013-01-10,NASHVILLE,TN,36.1141998,-86.814246,37215.0
"1490  CLAIRMONT PL, Nashville, TN",330000,2013-01-31,NASHVILLE,TN,36.111527,-86.7965588,37215.0
"1105  GILMORE AVE, Nashville, TN",718000,2013-01-18,NASHVILLE,TN,36.12452,-86.7881676,37204.0
"2406  9TH AVE S, Nashville, TN",585157,2013-01-14,NASHVILLE,TN,36.1250127,-86.7834149,37204.0
"3514  WILBUR PL, Nashville, TN",323000,2013-01-28,NASHVILLE,TN,36.1098421,-86.781267,37204.0
"620  HICKS RD, Nashville, TN",150000,2013-01-24,NASHVILLE,TN,36.08806,-86.937739,37221.0
"645  HICKS RD, Nashville, TN",132000,2013-01-18,NASHVILLE,TN,36.0903516,-86.9384968,37221.0
"937  NEUHOFF LN, Nashville, TN",268000,2013-01-25,NASHVILLE,TN,36.0889549,-86.8844004,37205.0
"912  PERCY WARNER BLVD, Nashville, TN",224000,2013-01-07,NASHVILLE,TN,36.0834121,-86.8840639,37205.0
"127  HEADY DR, Nashville, TN",300000,2013-01-15,NASHVILLE,TN,36.0976881,-86.8702171,37205.0
"4328  ESTES RD, Nashville, TN",975000,2013-01-18,NASHVILLE,TN,36.0979826,-86.8388884,37215.0
"1203  NICHOL LN, Nashville, TN",710000,2013-01-22,NASHVILLE,TN,36.0903563,-86.8670692,37205.0
"1122  WOODVALE DR, Nashville, TN",266125,2013-01-18,NASHVILLE,TN,36.1022762,-86.7957796,37204.0
"2013 B  CASTLEMAN DR, Nashville, TN",846200,2013-01-25,NASHVILLE,TN,36.0971293,-86.8155563,37215.0
"4704  VILLA GREEN DR, Nashville, TN",445000,2013-01-24,NASHVILLE,TN,36.0832426,-86.816882,37215.0
"4302  GRAY OAKS DR, Nashville, TN",345000,2013-01-17,NASHVILLE,TN,36.09568,-86.78882,37204.0
"6120  HILLSBORO PIKE, Nashville, TN",420000,2013-01-11,NASHVILLE,TN,36.1042204,-86.8151708,37215.0
"5442  GRANNY WHITE PIKE, Nashville, TN",1365000,2013-01-02,BRENTWOOD,TN,36.057153,-86.815415,37027.0
"5338  GREEN VALLEY CT, Nashville, TN",385500,2013-01-23,NASHVILLE,TN,36.051605,-86.693612,37013.0
"1730  KELLOW ST, Nashville, TN",27000,2013-01-28,NASHVILLE,TN,36.1894997,-86.8132077,37208.0
"2107  12TH AVE N, Nashville, TN",65900,2013-01-08,NASHVILLE,TN,36.1858162,-86.8083297,37208.0
"2307  LACY ST, Nashville, TN",54500,2013-01-11,NASHVILLE,TN,36.1831048,-86.8145477,37208.0
"1817  CEPHAS ST, Nashville, TN",17000,2013-01-10,NASHVILLE,TN,36.1806283,-86.8058802,37208.0
"1902  HEIMAN ST, Nashville, TN",25000,2013-01-25,NASHVILLE,TN,36.1711196,-86.8101174,37208.0
"1710  SCOVEL ST, Nashville, TN",37500,2013-01-08,NASHVILLE,TN,36.1710154,-86.8050379,37208.0
"6374  IVY ST, Nashville, TN",78500,2013-01-07,NASHVILLE,TN,36.1543825,-86.874645,37209.0
"509  ACHIEVEMENT DR, Nashville, TN",102000,2013-01-11,NASHVILLE,TN,36.1487967,-86.8817585,37209.0
"4806  KENTUCKY AVE, Nashville, TN",50000,2013-01-02,NASHVILLE,TN,36.1600667,-86.8453408,37209.0
"1030  43RD AVE N, Nashville, TN",93000,2013-01-16,NASHVILLE,TN,36.1622028,-86.8388305,37209.0
"1000  42ND AVE N, Nashville, TN",59220,2013-01-07,NASHVILLE,TN,36.161436,-86.837683,37209.0
"4503  MICHIGAN AVE, Nashville, TN",215044,2013-01-04,NASHVILLE,TN,36.1589159,-86.8413628,37209.0
"6361  ALAMO PL, Nashville, TN",127500,2013-01-18,NASHVILLE,TN,36.1530699,-86.8736578,37209.0
"711  32ND AVE N, Nashville, TN",15000,2013-01-23,NASHVILLE,TN,36.1620107,-86.8244392,37209.0
"7426  HUNTWICK TRL, Nashville, TN",600000,2013-01-10,NASHVILLE,TN,36.0935829,-86.9838232,37221.0
"4101  TIMOTHY DR, Nashville, TN",115000,2013-01-18,NASHVILLE,TN,36.213832,-86.844672,37218.0
"3844  CRAVATH DR, Nashville, TN",45000,2013-01-17,NASHVILLE,TN,36.2209246,-86.8114909,37207.0
"726  RINGGOLD DR, Nashville, TN",120000,2013-01-18,NASHVILLE,TN,36.2181973,-86.8126731,37207.0
"3602  W HAMILTON RD, Nashville, TN",52500,2013-01-22,NASHVILLE,TN,36.208433,-86.8397952,37080.0
"2816  BUENA VISTA PIKE, Nashville, TN",26000,2013-01-10,NASHVILLE,TN,36.208993,-86.818992,37218.0
"1825  MEADE AVE, Nashville, TN",81000,2013-01-24,NASHVILLE,TN,36.2045228,-86.7860725,37207.0
"3239  CROWE DR, Nashville, TN",27000,2013-01-17,NASHVILLE,TN,36.1810035,-86.8418534,37218.0
"3234  MEXICO DR, Nashville, TN",20000,2013-01-04,NASHVILLE,TN,36.1812281,-86.8371486,37218.0
"4021  DUMBARTON DR, Nashville, TN",100,2013-01-04,NASHVILLE,TN,36.2649131,-86.7727512,37207.0
"1313  BELLSHIRE DR, Nashville, TN",136600,2013-01-31,NASHVILLE,TN,36.2619737,-86.7703257,37207.0
"3236  VAILVIEW DR, Nashville, TN",109900,2013-01-15,NASHVILLE,TN,36.2367544,-86.7708893,37207.0
"240  WILEY ST, Nashville, TN",44000,2013-01-16,MADISON,TN,36.2689713,-86.7079046,37115.0
"408  BIXLER AVE, Nashville, TN",102900,2013-01-11,MADISON,TN,36.2654676,-86.7053331,37115.0
"145  EAGAN CIR, Nashville, TN",97500,2013-01-16,MADISON,TN,36.2637582,-86.6795193,37115.0
"253  WARRIOR RD, Nashville, TN",70000,2013-01-08,MADISON,TN,36.2590746,-86.6819644,37115.0
"120  RIO VISTA DR, Nashville, TN",74000,2013-01-08,MADISON,TN,36.2635411,-86.6808001,37115.0
"846  FLORENCE CIR, Nashville, TN",159900,2013-01-11,MADISON,TN,36.2489105,-86.6947622,37115.0
"1001  JASPERSON DR, Nashville, TN",66120,2013-01-24,MADISON,TN,36.248419,-86.6894,37115.0
"1504  MEADOW BEND DR, Nashville, TN",85000,2013-01-09,MADISON,TN,36.2484589,-86.6774212,37115.0
"1501  MEADOW BEND DR, Nashville, TN",89900,2013-01-03,MADISON,TN,36.24828,-86.677297,37115.0
"4207  GLYNDA DR, Nashville, TN",77500,2013-01-04,NASHVILLE,TN,36.2273662,-86.7309123,37216.0
"1105  GREENLAND AVE, Nashville, TN",83000,2013-01-04,NASHVILLE,TN,36.2227952,-86.725471,37216.0
"1104  MCALPINE AVE, Nashville, TN",154900,2013-01-17,NASHVILLE,TN,36.2209657,-86.7263815,37216.0
"1126  ARDEE AVE, Nashville, TN",130000,2013-01-15,NASHVILLE,TN,36.219029,-86.7264602,37216.0
"1535  MOHAWK TRL, Nashville, TN",108500,2013-01-16,MADISON,TN,36.2332509,-86.6559191,37115.0
"1225  JOSEPH AVE, Nashville, TN",57999,2013-01-15,NASHVILLE,TN,36.192351,-86.7713362,37207.0
"1213  STAINBACK AVE, Nashville, TN",40000,2013-01-24,NASHVILLE,TN,36.1921809,-86.7647305,37207.0
"1317  JONES AVE, Nashville, TN",16000,2013-01-08,NASHVILLE,TN,36.1948294,-86.7592862,37207.0
"1313 B  MCCHESNEY AVE, Nashville, TN",334000,2013-01-10,NASHVILLE,TN,36.2127037,-86.7267185,37216.0
"3815  INGLEWOOD CIR S, Nashville, TN",150000,2013-01-15,NASHVILLE,TN,36.2090851,-86.7174276,37216.0
"1118  KIRKLAND AVE, Nashville, TN",250000,2013-01-16,NASHVILLE,TN,36.2083239,-86.7329875,37216.0
"2931  GLENMEADE DR, Nashville, TN",76000,2013-01-24,NASHVILLE,TN,36.2023109,-86.7275141,37216.0
"2227  BERRYWOOD RD, Nashville, TN",177750,2013-01-30,NASHVILLE,TN,36.2056684,-86.7161633,37216.0
"1640  CHASE ST, Nashville, TN",53000,2013-01-07,NASHVILLE,TN,36.1977856,-86.7343418,37216.0
"1915  UPLAND DR, Nashville, TN",120000,2013-01-17,NASHVILLE,TN,36.1983161,-86.7148396,37216.0
"926  DOUGLAS AVE, Nashville, TN",30000,2013-01-15,NASHVILLE,TN,36.1929364,-86.7482155,37206.0
"1603  BRANCH ST, Nashville, TN",132000,2013-01-10,NASHVILLE,TN,36.1951435,-86.7261305,37216.0
"1811  GUEST DR, Nashville, TN",125000,2013-01-08,NASHVILLE,TN,36.197749,-86.7080406,37216.0
"1116  N 6TH ST, Nashville, TN",248840,2013-01-25,NASHVILLE,TN,36.1908249,-86.7611388,37207.0
"1010  N 6TH ST, Nashville, TN",52500,2013-01-11,NASHVILLE,TN,36.1885828,-86.7615267,37207.0
"1000  MCFERRIN AVE, Nashville, TN",75000,2013-01-11,NASHVILLE,TN,36.1882802,-86.7543616,37206.0
"726  HART AVE, Nashville, TN",153000,2013-01-09,NASHVILLE,TN,36.1830123,-86.7560241,37206.0
"707  HART AVE, Nashville, TN",210000,2013-01-25,NASHVILLE,TN,36.1826239,-86.7558869,37206.0
"211  TREUTLAND AVE, Nashville, TN",183000,2013-01-18,NASHVILLE,TN,36.1801672,-86.7697969,37207.0
"625  BOSCOBEL ST, Nashville, TN",281993,2013-01-24,NASHVILLE,TN,36.169897,-86.7600252,37206.0
"1027  GRANADA AVE, Nashville, TN",70000,2013-01-11,NASHVILLE,TN,36.1886049,-86.7483283,37206.0
"1311  GREENWOOD AVE, Nashville, TN",120000,2013-01-25,NASHVILLE,TN,36.1901032,-86.7423207,37206.0
"1105  N 14TH ST, Nashville, TN",65000,2013-01-24,NASHVILLE,TN,36.1885785,-86.7426815,37206.0
"2322  CARTER AVE, Nashville, TN",148500,2013-01-22,NASHVILLE,TN,36.1884959,-86.7199214,37206.0
"1201  CALVIN AVE, Nashville, TN",355000,2013-01-20,NASHVILLE,TN,36.181543,-86.74684,37206.0
